rec_survey_id	role	recommender_id	familiar_with_movie	knowledgeable	age_group	gender	race	degree	job	marital_status	political_view	religion	seeker_id	date
first_batch_257	RECOMMENDER	user_104	Strongly disagree	Strongly disagree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_386	2019-12-04 13:28:27.537751
first_batch_258	RECOMMENDER	user_92	Agree	Agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Roman Catholic	user_42	2019-12-04 14:09:06.593476
first_batch_259	RECOMMENDER	user_421	Neither agree nor disagree	Agree	18 - 24	Female	Native American/American Indian/Alaskan Native	Bachelor/4-year Degree	University Student	Married	Liberal	Protestant	user_149	2019-12-04 14:25:06.803241
first_batch_260	RECOMMENDER	user_422	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Master	Employed	Married	Liberal	Jewish	user_423	2019-12-04 14:26:32.047956
first_batch_261	RECOMMENDER	user_77	Strongly agree	Strongly agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Orthodox	user_92	2019-12-04 14:38:24.055653
first_batch_262	RECOMMENDER	user_424	Agree	Agree	55 - 74	Female	Caucasian	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Buddhist	user_425	2019-12-04 14:41:41.082099
first_batch_263	RECOMMENDER	user_279	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Moderate	Other	user_426	2019-12-04 15:03:17.889302
first_batch_264	RECOMMENDER	user_372	Agree	Agree	55 - 74	Male	Caucasian	Bachelor/4-year Degree	Retired	Married	Moderate	Protestant	user_77	2019-12-04 15:09:50.839862
first_batch_265	RECOMMENDER	user_5	Agree	Agree	55 - 74	Female	Caucasian	Associate Degree	Employed	Divorced	Moderate	Protestant	user_427	2019-12-04 15:10:21.788626
first_batch_266	RECOMMENDER	user_428	Strongly agree	Strongly agree	35 - 44	Male	Hispanic/Latino	Vocational Training	Employed	Married	Conservative	Other	user_429	2019-12-04 15:12:09.250455
first_batch_267	RECOMMENDER	user_430	Agree	Agree	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Moderate	Other	user_431	2019-12-04 15:26:17.806858
first_batch_268	RECOMMENDER	user_432	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Buddhist	user_433	2019-12-04 16:04:02.242503
first_batch_270	RECOMMENDER	user_434	Neither agree nor disagree	Agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Moderate	Other	user_435	2019-12-04 16:36:37.911290
first_batch_271	RECOMMENDER	user_436	Strongly agree	Strongly agree	25 - 34	Male	Hispanic/Latino	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_437	2019-12-04 16:39:09.684764
first_batch_272	RECOMMENDER	user_438	Agree	Agree	18 - 24	Male	Caucasian	High School/GED	University Student	Never been married	Moderate	Atheist	user_439	2019-12-04 17:25:51.808260
first_batch_273	RECOMMENDER	user_440	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Jewish	user_441	2019-12-04 17:56:08.969363
first_batch_274	RECOMMENDER	user_442	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Protestant	user_443	2019-12-04 17:57:49.359453
first_batch_275	RECOMMENDER	user_444	Agree	Agree	25 - 34	Male	East Asian	Doctorate	Employed	Living with partner	Moderate	Roman Catholic	user_445	2020-02-19 23:00:34.678957
first_batch_276	RECOMMENDER	user_77	Strongly agree	Strongly agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Orthodox	user_278	2020-02-19 23:09:49.445302
first_batch_277	RECOMMENDER	user_446	Agree	Neither agree nor disagree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Roman Catholic	user_447	2020-02-19 23:12:57.019580
first_batch_278	RECOMMENDER	user_448	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Homemaker	Living with partner	Moderate	Protestant	user_449	2020-02-19 23:27:14.142210
first_batch_279	RECOMMENDER	user_450	Strongly agree	Strongly agree	25 - 34	Male	Hispanic/Latino	Associate Degree	Employed	Never been married	Moderate	Other	user_451	2020-02-20 01:05:06.718496
first_batch_280	RECOMMENDER	user_452	Strongly agree	Strongly agree	45 - 54	Male	Caucasian	High School/GED	Employed	Living with partner	Liberal	Roman Catholic	user_453	2020-02-20 01:21:33.280529
first_batch_281	RECOMMENDER	user_298	Strongly agree	Agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Protestant	user_454	2020-02-20 01:41:10.456886
first_batch_282	RECOMMENDER	user_455	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Master	Employed	Never been married	Moderate	Roman Catholic	user_283	2020-02-20 04:26:19.861272
first_batch_283	RECOMMENDER	user_172	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Associate Degree	Employed	Living with partner	Liberal	Other	user_456	2020-02-20 04:52:58.351612
first_batch_284	RECOMMENDER	user_457	Agree	Agree	45 - 54	Female	Caucasian	High School/GED	Homemaker	Married	Liberal	Roman Catholic	user_458	2020-02-20 05:12:23.999089
first_batch_285	RECOMMENDER	user_459	Agree	Agree	25 - 34	Female	African	"Professional Postgraduate Degree (Medical, Law, etc)"	University Student	Never been married	Moderate	Protestant	user_460	2020-02-20 05:14:13.700653
first_batch_286	RECOMMENDER	user_461	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_172	2020-02-20 05:22:03.167620
first_batch_287	RECOMMENDER	user_462	Agree	Agree	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Liberal	Other	user_463	2020-02-20 05:25:40.718882
first_batch_288	RECOMMENDER	user_464	Strongly agree	Strongly agree	35 - 44	Female	Native American/American Indian/Alaskan Native	Bachelor/4-year Degree	Employed	Married	Moderate	Mormon	user_465	2020-02-20 05:31:46.078534
first_batch_289	RECOMMENDER	user_466	Agree	Strongly agree	35 - 44	Male	Hispanic/Latino	Doctorate	Employed	Married	Liberal	Atheist	user_467	2020-02-20 05:50:32.369985
first_batch_290	RECOMMENDER	user_468	Agree	Agree	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Conservative	Protestant	user_135	2020-02-20 06:47:52.430400
first_batch_291	RECOMMENDER	user_469	Agree	Strongly agree	25 - 34	Male	Caucasian	Master	Employed	Married	Conservative	Protestant	user_470	2020-02-20 06:52:20.554115
first_batch_292	RECOMMENDER	user_471	Strongly agree	Strongly agree	25 - 34	Male	Hispanic/Latino	Bachelor/4-year Degree	Employed	Never been married	Conservative	Roman Catholic	user_472	2020-02-20 06:53:06.225735
first_batch_293	RECOMMENDER	user_473	Agree	Agree	18 - 24	Male	Caucasian	High School/GED	Employed	Never been married	Moderate	Atheist	user_474	2020-02-20 07:08:27.716468
first_batch_294	RECOMMENDER	user_475	Agree	Agree	25 - 34	Female	Native American/American Indian/Alaskan Native	Bachelor/4-year Degree	Employed	Never been married	Moderate	Roman Catholic	user_476	2020-02-20 07:20:27.070636
first_batch_295	RECOMMENDER	user_477	Agree	Agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Other	user_478	2020-02-20 09:34:53.762316
first_batch_296	RECOMMENDER	user_479	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Atheist	user_480	2020-02-20 09:35:33.942803
first_batch_297	RECOMMENDER	user_481	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	High School/GED	Employed	Married	Liberal	Protestant	user_482	2020-02-20 09:35:53.947313
first_batch_298	RECOMMENDER	user_483	Strongly agree	Strongly agree	55 - 74	Male	Caucasian	Master	Retired	Married	Conservative	Buddhist	user_304	2020-02-20 09:38:54.046177
first_batch_299	RECOMMENDER	user_484	Agree	Strongly agree	25 - 34	Male	Caucasian	Associate Degree	Employed	Married	Conservative	Other	user_135	2020-02-20 09:58:36.748034
first_batch_300	RECOMMENDER	user_485	Agree	Agree	45 - 54	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_333	2020-02-20 10:01:19.208945
first_batch_301	RECOMMENDER	user_486	Agree	Agree	35 - 44	Male	Caucasian	Master	Employed	Married	Moderate	Protestant	user_487	2020-02-20 10:02:52.098235
first_batch_302	RECOMMENDER	user_488	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Associate Degree	Homemaker	Married	Conservative	Mormon	user_489	2020-02-20 10:08:37.445282
first_batch_303	RECOMMENDER	user_490	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	No Degree	University Student	Never been married	Conservative	Protestant	user_77	2020-02-20 10:13:17.251444
first_batch_304	RECOMMENDER	user_491	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Master	Employed	Married	Liberal	Mormon	user_492	2020-02-20 10:15:50.721358
first_batch_305	RECOMMENDER	user_493	Disagree	Disagree	35 - 44	Female	Caucasian	High School/GED	Homemaker	Never been married	Liberal	Other	user_494	2020-02-20 10:18:09.049887
first_batch_306	RECOMMENDER	user_495	Agree	Agree	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_496	2020-02-20 10:18:50.720493
first_batch_307	RECOMMENDER	user_497	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	High School/GED	Employed	Never been married	Conservative	Protestant	user_498	2020-02-20 10:19:02.233418
first_batch_308	RECOMMENDER	user_135	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Protestant	user_499	2020-02-20 10:19:34.243393
first_batch_309	RECOMMENDER	user_500	Disagree	Disagree	18 - 24	Female	South Asian	High School/GED	University Student	Never been married	Liberal	Muslim	user_501	2020-02-20 10:19:52.132556
first_batch_310	RECOMMENDER	user_502	Agree	Agree	45 - 54	Male	Other	Bachelor/4-year Degree	Employed	Married	Liberal	Other	user_503	2020-02-20 10:25:06.017236
first_batch_311	RECOMMENDER	user_304	Strongly agree	Agree	55 - 74	Female	Caucasian	Associate Degree	Employed	Married	Conservative	Roman Catholic	user_121	2020-02-20 10:32:29.136896
first_batch_313	RECOMMENDER	user_504	Strongly agree	Strongly agree	18 - 24	Female	East Asian	Bachelor/4-year Degree	Employed	Living with partner	Moderate	Other	user_505	2020-02-20 10:38:38.476766
first_batch_314	RECOMMENDER	user_506	Strongly agree	Agree	18 - 24	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_507	2020-02-20 10:41:39.182825
first_batch_315	RECOMMENDER	user_508	Agree	Neither agree nor disagree	55 - 74	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Other	user_509	2020-02-20 10:52:52.213300
first_batch_316	RECOMMENDER	user_333	Agree	Strongly agree	25 - 34	Male	African	Bachelor/4-year Degree	Employed	Married	Moderate	Roman Catholic	user_510	2020-02-20 10:54:48.591075
first_batch_317	RECOMMENDER	user_511	Agree	Agree	25 - 34	Male	South Asian	Master	Employed	Living with partner	Moderate	Buddhist	user_512	2020-02-20 10:59:13.834490
first_batch_318	RECOMMENDER	user_513	Agree	Agree	35 - 44	Male	African	Associate Degree	Employed	Never been married	Moderate	Other	user_514	2020-02-20 11:01:19.255855
first_batch_319	RECOMMENDER	user_503	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Atheist	user_491	2020-02-20 11:01:31.572098
first_batch_320	RECOMMENDER	user_515	Strongly agree	Strongly agree	18 - 24	Male	African	High School/GED	University Student	Never been married	Liberal	Protestant	user_304	2020-02-20 11:10:49.403798
first_batch_321	RECOMMENDER	user_516	Agree	Agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Other	user_517	2020-02-20 11:13:36.662964
first_batch_322	RECOMMENDER	user_518	Strongly agree	Strongly agree	25 - 34	Female	Other	High School/GED	Homemaker	Married	Moderate	Protestant	user_519	2020-02-20 11:14:13.202891
first_batch_323	RECOMMENDER	user_520	Agree	Strongly agree	25 - 34	Male	Hispanic/Latino	High School/GED	Employed	Never been married	Moderate	Other	user_521	2020-02-20 11:16:40.150658
first_batch_324	RECOMMENDER	user_482	Strongly agree	Strongly agree	18 - 24	Female	Other	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_522	2020-02-20 11:17:38.780911
first_batch_325	RECOMMENDER	user_523	Agree	Agree	25 - 34	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_333	2020-02-20 11:26:38.812960
first_batch_326	RECOMMENDER	user_524	Agree	Agree	35 - 44	Male	Southeast Asian	Master	Employed	Married	Moderate	Roman Catholic	user_525	2020-02-20 11:28:17.596308
first_batch_327	RECOMMENDER	user_491	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Master	Employed	Married	Liberal	Mormon	user_526	2020-02-20 11:28:58.226226
first_batch_328	RECOMMENDER	user_527	Agree	Agree	25 - 34	Male	Caucasian	Master	Employed	Married	Liberal	Atheist	user_528	2020-02-20 11:30:08.842321
first_batch_329	RECOMMENDER	user_482	Agree	Agree	18 - 24	Female	Other	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_529	2020-02-20 11:37:55.666885
first_batch_330	RECOMMENDER	user_530	Agree	Agree	25 - 34	Male	Caucasian	Master	Employed	Never been married	Conservative	Protestant	user_531	2020-02-20 11:38:32.077260
first_batch_331	RECOMMENDER	user_532	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Other	user_533	2020-02-20 11:48:39.632723
first_batch_332	RECOMMENDER	user_534	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	"Professional Postgraduate Degree (Medical, Law, etc)"	Employed	Married	Moderate	Protestant	user_482	2020-02-20 11:58:36.430844
first_batch_333	RECOMMENDER	user_535	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Roman Catholic	user_536	2020-02-20 12:03:02.018843
first_batch_334	RECOMMENDER	user_532	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Other	user_364	2020-02-20 12:06:07.254814
first_batch_335	RECOMMENDER	user_537	Strongly agree	Strongly agree	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Roman Catholic	user_538	2020-02-20 12:08:49.099093
first_batch_336	RECOMMENDER	user_539	Agree	Agree	25 - 34	Female	Caucasian	High School/GED	Homemaker	Married	Moderate	Atheist	user_333	2020-02-20 12:09:35.613331
first_batch_337	RECOMMENDER	user_540	Agree	Agree	25 - 34	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_298	2020-02-20 12:19:12.214317
first_batch_338	RECOMMENDER	user_541	Agree	Agree	35 - 44	Male	Caucasian	"Professional Postgraduate Degree (Medical, Law, etc)"	Employed	Married	Liberal	Jewish	user_503	2020-02-20 12:19:45.567782
first_batch_339	RECOMMENDER	user_532	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Other	user_542	2020-02-20 12:26:41.075758
first_batch_340	RECOMMENDER	user_77	Strongly agree	Strongly agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Orthodox	user_98	2020-02-20 12:30:06.626168
first_batch_341	RECOMMENDER	user_482	Agree	Agree	18 - 24	Female	Other	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_543	2020-02-20 12:31:30.137417
first_batch_342	RECOMMENDER	user_503	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Atheist	user_364	2020-02-20 12:36:05.175063
first_batch_343	RECOMMENDER	user_503	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Atheist	user_544	2020-02-20 12:39:12.000081
first_batch_344	RECOMMENDER	user_545	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Other	user_546	2020-02-20 12:42:50.385991
first_batch_345	RECOMMENDER	user_510	Strongly disagree	Agree	35 - 44	Female	African	High School/GED	Employed	Never been married	Moderate	Protestant	user_547	2020-02-20 12:47:28.118626
first_batch_346	RECOMMENDER	user_546	Strongly agree	Strongly agree	18 - 24	Male	South Asian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Muslim	user_548	2020-02-20 12:49:40.453460
first_batch_347	RECOMMENDER	user_549	Strongly agree	Strongly agree	35 - 44	Male	Caucasian	Associate Degree	Employed	Married	Conservative	Atheist	user_550	2020-02-20 12:59:19.212080
first_batch_348	RECOMMENDER	user_503	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Atheist	user_551	2020-02-20 13:00:29.631707
first_batch_349	RECOMMENDER	user_503	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Atheist	user_552	2020-02-20 13:03:37.982663
first_batch_350	RECOMMENDER	user_553	Agree	Agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_554	2020-02-20 13:09:57.300736
first_batch_351	RECOMMENDER	user_555	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	No Degree	Homemaker	Living with partner	Moderate	Protestant	user_491	2020-02-20 13:24:42.836528
first_batch_352	RECOMMENDER	user_546	Agree	Agree	18 - 24	Male	South Asian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Muslim	user_549	2020-02-20 13:33:37.430010
first_batch_353	RECOMMENDER	user_556	Strongly agree	Strongly agree	25 - 34	Male	African	Associate Degree	Employed	Never been married	Liberal	Other	user_557	2020-02-20 14:39:27.136742
first_batch_354	RECOMMENDER	user_304	Agree	Strongly agree	55 - 74	Female	Caucasian	Associate Degree	Employed	Married	Conservative	Roman Catholic	user_558	2020-02-20 14:49:36.250959
first_batch_355	RECOMMENDER	user_482	Agree	Agree	18 - 24	Female	Other	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_559	2020-02-20 15:00:21.613310
first_batch_356	RECOMMENDER	user_560	Agree	Strongly agree	25 - 34	Male	Caucasian	Associate Degree	Employed	Divorced	Liberal	Roman Catholic	user_561	2020-02-20 15:33:02.046823
first_batch_357	RECOMMENDER	user_562	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Moderate	Atheist	user_563	2020-02-20 15:36:59.925199
first_batch_358	RECOMMENDER	user_564	Agree	Agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_509	2020-02-20 15:37:24.946016
first_batch_359	RECOMMENDER	user_565	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Associate Degree	Employed	Never been married	Moderate	Other	user_566	2020-02-20 16:09:17.938806
first_batch_360	RECOMMENDER	user_567	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	High School/GED	Homemaker	Married	Conservative	Other	user_564	2020-02-20 16:14:10.529166
first_batch_361	RECOMMENDER	user_562	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Moderate	Atheist	user_568	2020-02-20 16:19:11.224109
first_batch_363	RECOMMENDER	user_569	Strongly agree	Strongly agree	25 - 34	Female	Hispanic/Latino	High School/GED	Homemaker	Living with partner	Moderate	Other	user_570	2020-02-20 16:27:31.083201
first_batch_364	RECOMMENDER	user_571	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Protestant	user_562	2020-02-20 16:47:39.554891
first_batch_365	RECOMMENDER	user_298	Strongly agree	Strongly agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Protestant	user_172	2020-02-20 16:56:47.109034
first_batch_366	RECOMMENDER	user_572	Agree	Agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Muslim	user_573	2020-02-20 17:15:02.970751
first_batch_367	RECOMMENDER	user_574	Neither agree nor disagree	Neither agree nor disagree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_575	2020-02-20 17:17:01.963968
first_batch_368	RECOMMENDER	user_576	Strongly agree	Strongly agree	35 - 44	Male	African	Master	Employed	Never been married	Liberal	Atheist	user_577	2020-02-20 17:27:46.558283
first_batch_369	RECOMMENDER	user_578	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Protestant	user_579	2020-02-20 17:35:10.180310
first_batch_370	RECOMMENDER	user_580	Agree	Strongly agree	55 - 74	Female	Caucasian	Associate Degree	Retired	Married	Conservative	Jewish	user_271	2020-02-20 17:48:24.803245
first_batch_371	RECOMMENDER	user_581	Neither agree nor disagree	Neither agree nor disagree	35 - 44	Female	Caucasian	High School/GED	Unable to Work	Never been married	Moderate	Other	user_582	2020-02-20 18:36:10.970719
first_batch_372	RECOMMENDER	user_368	Agree	Agree	18 - 24	Female	Caucasian	High School/GED	Homemaker	Married	Moderate	Atheist	user_583	2020-02-20 19:04:06.966493
first_batch_373	RECOMMENDER	user_584	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Muslim	user_18	2020-02-20 20:07:29.101989
first_batch_374	RECOMMENDER	user_585	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Associate Degree	University Student	Never been married	Moderate	Other	user_586	2020-02-20 20:57:04.718791
first_batch_375	RECOMMENDER	user_587	Strongly disagree	Strongly disagree	18 - 24	Female	Hispanic/Latino	Associate Degree	University Student	Never been married	Liberal	Roman Catholic	user_588	2020-02-20 22:23:04.545167
first_batch_376	RECOMMENDER	user_589	Agree	Agree	12 or younger	Male	Hispanic/Latino	No Degree	Employed	Living with partner	Moderate	Roman Catholic	user_590	2020-02-20 22:28:57.029996
first_batch_377	RECOMMENDER	user_591	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Atheist	user_592	2020-02-20 23:09:13.664975
first_batch_378	RECOMMENDER	user_593	Agree	Agree	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Atheist	user_48	2020-02-21 01:23:30.997758
first_batch_379	RECOMMENDER	user_594	Strongly disagree	Strongly disagree	25 - 34	Male	Southeast Asian	Master	Employed	Never been married	Moderate	Atheist	user_595	2020-02-21 02:05:59.308144
first_batch_380	RECOMMENDER	user_596	Strongly agree	Strongly agree	25 - 34	Male	African	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_597	2020-02-21 04:22:27.808673
first_batch_381	RECOMMENDER	user_598	Agree	Agree	18 - 24	Female	Caucasian	High School/GED	Employed	Married	Moderate	Other	user_599	2020-02-21 05:28:24.496342
first_batch_382	RECOMMENDER	user_152	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_600	2020-02-21 05:31:16.842582
first_batch_383	RECOMMENDER	user_601	Disagree	Disagree	55 - 74	Female	Caucasian	Master	Retired	Widowed	Liberal	Other	user_602	2020-02-21 05:50:02.388620
first_batch_384	RECOMMENDER	user_603	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	High School/GED	Employed	Never been married	Liberal	Protestant	user_143	2020-02-21 05:56:04.344099
first_batch_385	RECOMMENDER	user_604	Agree	Agree	45 - 54	Female	Caucasian	High School/GED	Employed	Living with partner	Liberal	Protestant	user_605	2020-02-21 06:49:31.440897
first_batch_386	RECOMMENDER	user_606	Disagree	Disagree	25 - 34	Male	Caucasian	Master	Employed	Never been married	Moderate	Muslim	user_298	2020-02-21 07:07:28.424864
first_batch_387	RECOMMENDER	user_475	Strongly agree	Strongly agree	25 - 34	Female	Native American/American Indian/Alaskan Native	Bachelor/4-year Degree	Employed	Never been married	Liberal	Protestant	user_607	2020-02-21 07:12:51.383479
first_batch_388	RECOMMENDER	user_608	Neither agree nor disagree	Neither agree nor disagree	25 - 34	Female	Caucasian	High School/GED	Homemaker	Married	Moderate	Other	user_475	2020-02-21 07:33:45.242803
first_batch_389	RECOMMENDER	user_596	Strongly agree	Strongly agree	25 - 34	Male	African	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_609	2020-02-21 07:44:54.442417
first_batch_390	RECOMMENDER	user_610	Agree	Agree	55 - 74	Female	Caucasian	High School/GED	Employed	Married	Moderate	Roman Catholic	user_611	2020-02-21 08:02:49.976996
first_batch_391	RECOMMENDER	user_6	Strongly agree	Strongly agree	55 - 74	Female	African	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_612	2020-02-21 08:05:46.509777
first_batch_392	RECOMMENDER	user_613	Strongly agree	Strongly agree	45 - 54	Male	Hispanic/Latino	High School/GED	Employed	Living with partner	Moderate	Other	user_614	2020-02-21 08:17:04.535254
first_batch_393	RECOMMENDER	user_615	Agree	Agree	45 - 54	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Protestant	user_616	2020-02-21 08:37:49.175100
first_batch_394	RECOMMENDER	user_6	Strongly agree	Strongly agree	55 - 74	Female	African	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_617	2020-02-21 08:40:07.370582
first_batch_395	RECOMMENDER	user_618	Agree	Strongly agree	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Roman Catholic	user_619	2020-02-21 08:51:06.483174
first_batch_396	RECOMMENDER	user_620	Strongly agree	Strongly agree	25 - 34	Female	East Asian	Master	Employed	Never been married	Moderate	Atheist	user_621	2020-02-21 09:34:53.023448
first_batch_397	RECOMMENDER	user_622	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Atheist	user_623	2020-02-21 10:31:59.318119
first_batch_398	RECOMMENDER	user_624	Agree	Agree	45 - 54	Female	Caucasian	Associate Degree	Employed	Married	Liberal	Other	user_478	2020-02-21 10:48:23.809214
first_batch_399	RECOMMENDER	user_625	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	High School/GED	Employed	Divorced	Conservative	Other	user_626	2020-02-21 11:16:43.087050
first_batch_400	RECOMMENDER	user_627	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Moderate	Mormon	user_628	2020-02-21 11:21:14.041711
first_batch_401	RECOMMENDER	user_629	Agree	Agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Atheist	user_630	2020-02-21 12:15:23.102893
first_batch_402	RECOMMENDER	user_631	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	High School/GED	Homemaker	Married	Moderate	Protestant	user_5	2020-02-21 13:11:09.067834
first_batch_403	RECOMMENDER	user_78	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_115	2019-12-06 14:12:32.125099
first_batch_404	RECOMMENDER	user_80	Agree	Agree	18 - 24	Male	African	Associate Degree	Employed	Never been married	Liberal	Roman Catholic	user_632	2019-12-06 14:17:57.438019
first_batch_405	RECOMMENDER	user_633	Agree	Neither agree nor disagree	45 - 54	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Other	user_508	2019-12-06 14:22:27.627361
first_batch_406	RECOMMENDER	user_634	Neither agree nor disagree	Agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Atheist	user_6	2019-12-06 14:31:37.322147
